anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion,forma_geocod,calle_lista,numero_calles,calles_osm,lat,lon,index_right,gid,fna,gna,nam,in1,fdc,sag
2017,10861,2017-10-15,Domingo,0.0,18:15:00,,0.0,1,Moto/Ciclomotor, ,1,0,0,0,0,1,0,"-32.954747, -60.656174",S/D,,ROSARIO,Rosario,S/D,S/D,II,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Diurna,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.954747, -60.656174",[''],0,,-32.954747,-60.656174,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10863,2017-05-27,Sabado,0.0,13:45:00,,0.0,2,"Moto/Ciclomotor,Ambulancia",Urquiza Y San Nicolas,3,0,1,0,1,1,0,"-32.936833333333,-60.671472222222",Calle,,ROSARIO,Rosario,S/D,S/D,II,Dentro,Urbana,S/D,S/D,S/D,S/D,S/D,Diurna,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.936833333333,-60.671472222222","['Urquiza', 'San Nicolás']",2,,-32.936833333333,-60.671472222222,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10864,2017-12-15,Viernes,0.0,12:45:00,,0.0,2,"Automóvil,Automóvil",Montevideo Y Paraguay,3,1,0,0,2,0,0,"-32.955138888889,-60.646194444444",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Paso Peatonal,No existe,Intersección,S/D,S/D,Diurna,S/D,Múltiple,S/D,Colisión,S/D,Horizontal,Ninguna,S/D,"-32.955138888889,-60.646194444444","['Montevideo', 'Paraguay']",2,,-32.955138888889,-60.646194444444,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10875,2017-02-22,Miercoles,0.0,17:50:00,,0.0,2,"Peatón,Otros",Pasco Y Roullon,2,0,0,1,0,0,1,"-32.950666666667,-60.701777777778",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Peatón,Atropello,S/D,S/D,S/D,S/D,"-32.950666666667,-60.701777777778","['Pasco', 'Alfredo Rouillón']",2,,-32.950666666667,-60.701777777778,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10876,2017-03-05,Domingo,0.0,19:00:00,,0.0,2,"Moto/Ciclomotor,Otros",BARRIO GODOY ,2,0,0,1,0,0,1,"-32.96618, -60.72526",S/D,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.96618, -60.72526",['Barrio Avenida Presidente Perón'],1,,-32.96618,-60.72526,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10877,2017-03-05,Domingo,0.0,21:00:00,,0.0,2,"Peatón,Otros",Bv. Avellaneda Y Pte.Quintana,2,0,0,1,0,0,1,"-32.975194444444,-60.688222222222",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Peatón,Atropello,S/D,S/D,S/D,S/D,"-32.975194444444,-60.688222222222","['Avellaneda', 'Quintana']",2,,-32.975194444444,-60.688222222222,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10878,2017-03-23,Jueves,0.0,23:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Av. Arijon Y Mariano Moreno,2,0,0,1,0,0,1,"-33.003416666667,-60.661944444444",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-33.003416666667,-60.661944444444","['Avenida Manuel Arijón', 'Mariano Moreno']",2,,-33.003416666667,-60.661944444444,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10881,2017-04-10,Lunes,0.0,20:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Ayacucho 3700,2,0,0,1,0,0,1,"-32.982194444444,-60.635666666667",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.982194444444,-60.635666666667",['Ayacucho 3700'],1,,-32.982194444444,-60.635666666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10886,2017-06-20,Martes,0.0,0:05:00,,0.0,2,"Moto/Ciclomotor,Otros",Catamarca Y San Martin,2,0,0,1,0,0,1,"-32.941055555556,-60.635361111111",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.941055555556,-60.635361111111","['Catamarca', 'San Martin']",2,,-32.941055555556,-60.635361111111,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10888,2017-06-27,Martes,0.0,1:00:00,,0.0,2,"Automóvil,Otros",E.Zeballos Y Bv. Avellaneda,3,0,0,1,0,0,2,"-32.947638888889,-60.681444444444",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.947638888889,-60.681444444444","['Zeballos', 'Avellaneda']",2,,-32.947638888889,-60.681444444444,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10889,2017-07-09,Domingo,0.0,7:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Ituzaingo Y F.More,2,0,0,1,0,0,1,"-32.951666666667,-60.693277777778",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.951666666667,-60.693277777778","['Ituzaingó', 'Felipe Moré']",2,,-32.951666666667,-60.693277777778,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10890,2017-07-20,Jueves,0.0,21:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Av. Pellegrini Y Dorrego,2,0,0,1,0,0,1,"-32.955416666667,-60.651972222222",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.955416666667,-60.651972222222","['Pellegrini', 'Dorrego']",2,,-32.955416666667,-60.651972222222,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10891,2017-07-23,Domingo,0.0,17:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Peru Y Av. Pte.Peron,2,0,0,1,0,0,1,"-32.967333333333,-60.710333333333",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.967333333333,-60.710333333333","['Peru', 'Avenida Presidente Perón']",2,,-32.967333333333,-60.710333333333,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10892,2017-07-28,Viernes,0.0,13:45:00,,0.0,2,"Moto/Ciclomotor,Otros",San Martin Y Av. Uriburu,2,0,0,1,0,0,1,"-32.990666666667,-60.646805555556",Avenida,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.990666666667,-60.646805555556","['San Martin', 'Uriburu']",2,,-32.990666666667,-60.646805555556,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10894,2017-08-07,Lunes,0.0,7:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Tucuman 8000,2,0,0,1,0,0,1,"-32.933138888889,-60.734333333333",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.933138888889,-60.734333333333",['Tucuman 8000'],1,,-32.933138888889,-60.734333333333,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10896,2017-08-14,Lunes,0.0,12:15:00,,0.0,2,"Moto/Ciclomotor,Otros",Ayacucho Y Muñoz,2,0,0,1,0,0,1,"-33.007972222222,-60.635833333333",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-33.007972222222,-60.635833333333","['Ayacucho', 'Muñoz']",2,,-33.007972222222,-60.635833333333,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10898,2017-08-30,Miercoles,0.0,12:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Montevideo Y Constitucion,2,0,0,1,0,0,1,"-32.949777777778,-60.676166666667",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.949777777778,-60.676166666667","['Montevideo', 'Constitución']",2,,-32.949777777778,-60.676166666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
